CLASS		# OF HANDS		CLASS NAME

AKQJT		6		Ace high straight flush
KQJT9		6		King high straight flush
QJT98		6		Queen high straight flush
JT987		6		Jack high straight flush
T9876		6		Ten high straight flush
9876A		6		Nine high straight flush
AAAAA		6		Five Aces
KKKKK		6		Five Kings
QQQQQ		6		Five Queens
JJJJJ		6		Five Jacks
TTTTT		6		Five Tens
99999		6		Five Nines
88888		6		Five Eights
77777		6		Five Sevens
66666		6		Five Sixes
AKQJ9		6		Ace high 5 flush
AKQJ8		6		Ace high 5 flush
AKQJ7		6		Ace high 5 flush
AKQJ6		6		Ace high 5 flush
AKQT9		6		Ace high 5 flush
AKQT8		6		Ace high 5 flush
AKQT7		6		Ace high 5 flush
AKQT6		6		Ace high 5 flush
AKQ98		6		Ace high 5 flush
AKQ97		6		Ace high 5 flush
AKQ96		6		Ace high 5 flush
AKQ87		6		Ace high 5 flush
AKQ86		6		Ace high 5 flush
AKQ76		6		Ace high 5 flush
AKJT9		6		Ace high 5 flush
AKJT8		6		Ace high 5 flush
AKJT7		6		Ace high 5 flush
AKJT6		6		Ace high 5 flush
AKJ98		6		Ace high 5 flush
AKJ97		6		Ace high 5 flush
AKJ96		6		Ace high 5 flush
AKJ87		6		Ace high 5 flush
AKJ86		6		Ace high 5 flush
AKJ76		6		Ace high 5 flush
AKT98		6		Ace high 5 flush
AKT97		6		Ace high 5 flush
AKT96		6		Ace high 5 flush
AKT87		6		Ace high 5 flush
AKT86		6		Ace high 5 flush
AKT76		6		Ace high 5 flush
AK987		6		Ace high 5 flush
AK986		6		Ace high 5 flush
AK976		6		Ace high 5 flush
AK876		6		Ace high 5 flush
AQJT9		6		Ace high 5 flush
AQJT8		6		Ace high 5 flush
AQJT7		6		Ace high 5 flush
AQJT6		6		Ace high 5 flush
AQJ98		6		Ace high 5 flush
AQJ97		6		Ace high 5 flush
AQJ96		6		Ace high 5 flush
AQJ87		6		Ace high 5 flush
AQJ86		6		Ace high 5 flush
AQJ76		6		Ace high 5 flush
AQT98		6		Ace high 5 flush
AQT97		6		Ace high 5 flush
AQT96		6		Ace high 5 flush
AQT87		6		Ace high 5 flush
AQT86		6		Ace high 5 flush
AQT76		6		Ace high 5 flush
AQ987		6		Ace high 5 flush
AQ986		6		Ace high 5 flush
AQ976		6		Ace high 5 flush
AQ876		6		Ace high 5 flush
AJT98		6		Ace high 5 flush
AJT97		6		Ace high 5 flush
AJT96		6		Ace high 5 flush
AJT87		6		Ace high 5 flush
AJT86		6		Ace high 5 flush
AJT76		6		Ace high 5 flush
AJ987		6		Ace high 5 flush
AJ986		6		Ace high 5 flush
AJ976		6		Ace high 5 flush
AJ876		6		Ace high 5 flush
AT987		6		Ace high 5 flush
AT986		6		Ace high 5 flush
AT976		6		Ace high 5 flush
AT876		6		Ace high 5 flush
KQJT8		6		King high 5 flush
KQJT7		6		King high 5 flush
KQJT6		6		King high 5 flush
KQJ98		6		King high 5 flush
KQJ97		6		King high 5 flush
KQJ96		6		King high 5 flush
KQJ87		6		King high 5 flush
KQJ86		6		King high 5 flush
KQJ76		6		King high 5 flush
KQT98		6		King high 5 flush
KQT97		6		King high 5 flush
KQT96		6		King high 5 flush
KQT87		6		King high 5 flush
KQT86		6		King high 5 flush
KQT76		6		King high 5 flush
KQ987		6		King high 5 flush
KQ986		6		King high 5 flush
KQ976		6		King high 5 flush
KQ876		6		King high 5 flush
KJT98		6		King high 5 flush
KJT97		6		King high 5 flush
KJT96		6		King high 5 flush
KJT87		6		King high 5 flush
KJT86		6		King high 5 flush
KJT76		6		King high 5 flush
KJ987		6		King high 5 flush
KJ986		6		King high 5 flush
KJ976		6		King high 5 flush
KJ876		6		King high 5 flush
KT987		6		King high 5 flush
KT986		6		King high 5 flush
KT976		6		King high 5 flush
KT876		6		King high 5 flush
K9876		6		King high 5 flush
QJT97		6		Queen high 5 flush
QJT96		6		Queen high 5 flush
QJT87		6		Queen high 5 flush
QJT86		6		Queen high 5 flush
QJT76		6		Queen high 5 flush
QJ987		6		Queen high 5 flush
QJ986		6		Queen high 5 flush
QJ976		6		Queen high 5 flush
QJ876		6		Queen high 5 flush
QT987		6		Queen high 5 flush
QT986		6		Queen high 5 flush
QT976		6		Queen high 5 flush
QT876		6		Queen high 5 flush
Q9876		6		Queen high 5 flush
JT986		6		Jack high 5 flush
JT976		6		Jack high 5 flush
JT876		6		Jack high 5 flush
J9876		6		Jack high 5 flush
AAAAK		90		Four Aces
AAAAQ		90		Four Aces
AAAAJ		90		Four Aces
AAAAT		90		Four Aces
AAAA9		90		Four Aces
AAAA8		90		Four Aces
AAAA7		90		Four Aces
AAAA6		90		Four Aces
KKKKA		90		Four Kings
KKKKQ		90		Four Kings
KKKKJ		90		Four Kings
KKKKT		90		Four Kings
KKKK9		90		Four Kings
KKKK8		90		Four Kings
KKKK7		90		Four Kings
KKKK6		90		Four Kings
QQQQA		90		Four Queens
QQQQK		90		Four Queens
QQQQJ		90		Four Queens
